States,Month_Year,temperature,humidity,precipitation,wind_speed,solar_radiation,max_temp,min_temp,dew_point,pressure,clouds,Generation,Type
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,1031.56,Wind
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,8.64,Bioenergy
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,8610.22,Coal
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,1211.52,Gas
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,59.6,Hydro
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,179.17,Nuclear
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,0.0,Other Fossil
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,0.0,Other Renewables
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,323.61,Solar
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,1369.72,Wind
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,8.15,Bioenergy
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,7016.11,Coal
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,1045.6,Gas
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,41.3,Hydro
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,311.83,Nuclear
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,0.0,Other Fossil
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,8.31,Other Renewables
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,264.17,Solar
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,1487.12,Wind
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,8.14,Bioenergy
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,6376.54,Coal
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,1161.33,Gas
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,59.7,Hydro
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,322.85,Nuclear
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,0.0,Other Fossil
